"ID"	"Gender"	"Language"	"Item"	"Problem"	"Y"	"RT"	"Ysub"	"RTsub"	"Ytot"	"RTtot"
13	"Female"	"FR"	8	"2"	1	185	NA	NA	NA	NA
13	"Female"	"FR"	9	"3"	1	127	NA	NA	NA	NA
13	"Female"	"FR"	10	"3"	1	108	NA	NA	NA	NA
13	"Female"	"FR"	11	"3"	0	83	NA	NA	NA	NA
13	"Female"	"FR"	12	"3"	1	33	NA	NA	NA	NA
13	"Female"	"FR"	13	"4"	1	0	NA	NA	NA	NA
13	"Female"	"FR"	14	"4"	1	0	NA	NA	NA	NA
13	"Female"	"FR"	15	"4"	1	0	NA	NA	NA	NA
13	"Female"	"FR"	16	"4"	1	0	NA	NA	NA	NA
13	"Female"	"FR"	17	"5"	1	0	NA	NA	NA	NA
13	"Female"	"FR"	18	"5"	1	0	NA	NA	NA	NA
13	"Female"	"FR"	19	"5"	1	0	NA	NA	NA	NA
13	"Female"	"FR"	20	"5"	1	0	NA	NA	NA	NA
13	"Female"	"FR"	21	"6"	1	0	NA	NA	NA	NA
14	"Male"	"NL"	1	"1"	1	101	3	169	17	610
14	"Male"	"NL"	2	"1"	1	23	3	128	17	610
14	"Male"	"NL"	3	"1"	1	26	3	89	17	610
14	"Male"	"NL"	4	"1"	0	19	4	224	17	610
14	"Male"	"NL"	5	"2"	1	56	4	0	17	610
14	"Male"	"NL"	6	"2"	0	22	0	0	17	610
14	"Male"	"NL"	7	"2"	1	19	NA	NA	NA	NA
14	"Male"	"NL"	8	"2"	1	31	NA	NA	NA	NA
14	"Male"	"NL"	9	"3"	1	60	NA	NA	NA	NA
14	"Male"	"NL"	10	"3"	1	11	NA	NA	NA	NA
14	"Male"	"NL"	11	"3"	0	8	NA	NA	NA	NA
14	"Male"	"NL"	12	"3"	1	10	NA	NA	NA	NA
14	"Male"	"NL"	13	"4"	1	135	NA	NA	NA	NA
14	"Male"	"NL"	14	"4"	1	64	NA	NA	NA	NA
14	"Male"	"NL"	15	"4"	1	25	NA	NA	NA	NA
14	"Male"	"NL"	16	"4"	1	0	NA	NA	NA	NA
14	"Male"	"NL"	17	"5"	1	0	NA	NA	NA	NA
14	"Male"	"NL"	18	"5"	1	0	NA	NA	NA	NA
14	"Male"	"NL"	19	"5"	1	0	NA	NA	NA	NA
14	"Male"	"NL"	20	"5"	1	0	NA	NA	NA	NA
14	"Male"	"NL"	21	"6"	0	0	NA	NA	NA	NA
15	"Male"	"NL"	1	"1"	0	530	1	1147	16	1201
15	"Male"	"NL"	2	"1"	1	305	4	54	16	1201
15	"Male"	"NL"	3	"1"	0	173	2	0	16	1201
15	"Male"	"NL"	4	"1"	0	139	4	0	16	1201
15	"Male"	"NL"	5	"2"	1	54	4	0	16	1201
15	"Male"	"NL"	6	"2"	1	0	1	0	16	1201
15	"Male"	"NL"	7	"2"	1	0	NA	NA	NA	NA
15	"Male"	"NL"	8	"2"	1	0	NA	NA	NA	NA
15	"Male"	"NL"	9	"3"	0	0	NA	NA	NA	NA
15	"Male"	"NL"	10	"3"	1	0	NA	NA	NA	NA
15	"Male"	"NL"	11	"3"	0	0	NA	NA	NA	NA
15	"Male"	"NL"	12	"3"	1	0	NA	NA	NA	NA
15	"Male"	"NL"	13	"4"	1	0	NA	NA	NA	NA
15	"Male"	"NL"	14	"4"	1	0	NA	NA	NA	NA
15	"Male"	"NL"	15	"4"	1	0	NA	NA	NA	NA
15	"Male"	"NL"	16	"4"	1	0	NA	NA	NA	NA
15	"Male"	"NL"	17	"5"	1	0	NA	NA	NA	NA
15	"Male"	"NL"	18	"5"	1	0	NA	NA	NA	NA
15	"Male"	"NL"	19	"5"	1	0	NA	NA	NA	NA
15	"Male"	"NL"	20	"5"	1	0	NA	NA	NA	NA
15	"Male"	"NL"	21	"6"	1	0	NA	NA	NA	NA
16	"Female"	"NL"	1	"1"	1	77	1	261	16	676
16	"Female"	"NL"	2	"1"	0	35	3	139	16	676
16	"Female"	"NL"	3	"1"	0	49	4	65	16	676
16	"Female"	"NL"	4	"1"	0	100	4	192	16	676
16	"Female"	"NL"	5	"2"	1	72	3	19	16	676
16	"Female"	"NL"	6	"2"	1	24	1	0	16	676
16	"Female"	"NL"	7	"2"	1	16	NA	NA	NA	NA
16	"Female"	"NL"	8	"2"	0	27	NA	NA	NA	NA
16	"Female"	"NL"	9	"3"	1	37	NA	NA	NA	NA
16	"Female"	"NL"	10	"3"	1	11	NA	NA	NA	NA
16	"Female"	"NL"	11	"3"	1	7	NA	NA	NA	NA
16	"Female"	"NL"	12	"3"	1	10	NA	NA	NA	NA
16	"Female"	"NL"	13	"4"	1	87	NA	NA	NA	NA
16	"Female"	"NL"	14	"4"	1	65	NA	NA	NA	NA
16	"Female"	"NL"	15	"4"	1	17	NA	NA	NA	NA
16	"Female"	"NL"	16	"4"	1	23	NA	NA	NA	NA
16	"Female"	"NL"	17	"5"	1	0	NA	NA	NA	NA
16	"Female"	"NL"	18	"5"	1	0	NA	NA	NA	NA
16	"Female"	"NL"	19	"5"	0	19	NA	NA	NA	NA
16	"Female"	"NL"	20	"5"	1	0	NA	NA	NA	NA
16	"Female"	"NL"	21	"6"	1	0	NA	NA	NA	NA
17	"Male"	"NL"	1	"1"	0	104	0	280	11	797
17	"Male"	"NL"	2	"1"	0	80	3	315	11	797
17	"Male"	"NL"	3	"1"	0	52	3	202	11	797
17	"Male"	"NL"	4	"1"	0	44	2	0	11	797
17	"Male"	"NL"	5	"2"	1	86	3	0	11	797
17	"Male"	"NL"	6	"2"	0	121	0	0	11	797
17	"Male"	"NL"	7	"2"	1	33	NA	NA	NA	NA
17	"Male"	"NL"	8	"2"	1	75	NA	NA	NA	NA
17	"Male"	"NL"	9	"3"	1	26	NA	NA	NA	NA
17	"Male"	"NL"	10	"3"	1	113	NA	NA	NA	NA
17	"Male"	"NL"	11	"3"	0	33	NA	NA	NA	NA
17	"Male"	"NL"	12	"3"	1	30	NA	NA	NA	NA
17	"Male"	"NL"	13	"4"	0	0	NA	NA	NA	NA
17	"Male"	"NL"	14	"4"	1	0	NA	NA	NA	NA
17	"Male"	"NL"	15	"4"	0	0	NA	NA	NA	NA
17	"Male"	"NL"	16	"4"	1	0	NA	NA	NA	NA
17	"Male"	"NL"	17	"5"	1	0	NA	NA	NA	NA
